Review_ID,Review_Score,Review_Comment_Message,Review_Creation_Date,Review_Answer_Timestamp
90,1,Poor Quality,3/8/2018 0:00,3/8/2018 12:27
91,5,Marvellous,5/10/2018 0:00,5/11/2018 3:08
92,1,Kenny is excellent,3/7/2018 0:00,3/7/2018 15:32
93,5,Great service,4/6/2018 0:00,4/8/2018 18:42
94,5,Great Couch & Great Service,8/17/2018 0:00,8/31/2018 3:13
95,2,Great service,3/17/2018 0:00,3/17/2018 9:29
96,5,Defects in fabrics,8/3/2017 0:00,8/3/2017 23:40
97,5,Excellent service; great selection,12/12/2017 0:00,12/13/2017 22:58
98,5,Great Couch & Great Service,7/12/2017 0:00,7/13/2017 1:02
99,3,Excellent service; great selection,3/28/2018 0:00,3/31/2018 3:25
100,5,Excellent service; great selection,10/31/2017 0:00,11/6/2017 18:43
101,5,Good,11/22/2017 0:00,11/22/2017 14:45
102,4,Marvellous,12/19/2017 0:00,12/22/2017 12:43
103,4,Kenny is excellent,12/13/2017 0:00,12/15/2017 14:41
104,5,Defects in fabrics,6/24/2017 0:00,6/29/2017 13:48
105,3,Wow!,8/25/2018 0:00,8/25/2018 20:53
106,5,Good,6/21/2018 0:00,6/21/2018 20:33
107,1,"Wow, 3 years ago when i ordered some furniture there it was incredible service ;)) Just crazy",4/22/2018 0:00,4/26/2018 10:25
108,5,Great service !,5/10/2018 0:00,5/11/2018 11:56
109,5,recommend,5/23/2018 0:00,5/28/2018 12:48
110,5,I received poor quality furniture,1/30/2018 0:00,1/30/2018 18:19
111,3,Excellent service; great selection,1/16/2018 0:00,1/18/2018 23:25
112,5,recommend,12/17/2017 0:00,12/19/2017 17:31
113,5,Defects in fabrics,10/24/2017 0:00,10/25/2017 10:02
114,5,recommend,8/2/2018 0:00,8/3/2018 4:55
115,5,Excellent service; great selection,3/16/2018 0:00,3/17/2018 2:34
116,1,recommend,1/4/2018 0:00,1/10/2018 9:52
117,5,Good,8/29/2017 0:00,8/29/2017 21:06
118,5,Kenny is excellent,10/26/2017 0:00,10/26/2017 23:46
119,5,Great Couch & Great Service,1/10/2018 0:00,1/17/2018 21:43
120,1,Super recommend,11/7/2017 0:00,11/8/2017 21:54
121,4,recommend,6/26/2018 0:00,6/26/2018 19:47
122,4,Good,12/16/2017 0:00,12/19/2017 23:21
123,1,Best place for furniture with amazingly low price,11/23/2017 0:00,11/23/2017 10:32
124,4,Don't recommend,7/13/2018 0:00,7/16/2018 1:34
125,5,Overall great experience except for prices/selection,7/27/2017 0:00,7/27/2017 23:51
126,4,recommend,8/10/2018 0:00,8/14/2018 23:35
127,5,Recommend,9/14/2017 0:00,9/15/2017 11:40
128,5,Great service,1/10/2018 0:00,1/11/2018 7:47
129,2,Overall great experience except for prices/selection,12/17/2017 0:00,12/17/2017 12:14
130,5,Great service,12/27/2017 0:00,1/1/2018 18:45
131,5,Good,10/24/2017 0:00,10/25/2017 19:36
132,3,Great service,1/20/2018 0:00,5/15/2018 0:45
133,1,Excellent service; great selection,9/17/2017 0:00,9/18/2017 23:39
134,5,Kenny is excellent,10/22/2016 0:00,10/26/2016 17:47
135,4,I received poor quality furniture,10/10/2017 0:00,10/11/2017 14:23
136,3,Great service,9/24/2017 0:00,9/25/2017 14:09
137,5,I received poor quality furniture,6/22/2017 0:00,6/22/2017 23:36
138,5,Well,4/12/2018 0:00,4/13/2018 11:56
139,3,Good,8/26/2018 0:00,8/28/2018 15:04
140,3,Overall great experience except for prices/selection,2/1/2018 0:00,2/1/2018 6:26
141,5,Well,4/5/2018 0:00,4/5/2018 23:19
142,5,Excellent service; great selection,3/9/2018 0:00,3/11/2018 15:27
143,5,Marvellous,4/19/2018 0:00,4/22/2018 12:25
144,5,Kenny is excellent,6/3/2017 0:00,6/4/2017 2:22
145,4,Great service,5/30/2017 0:00,5/31/2017 14:13
146,1,Great Couch & Great Service,8/22/2017 0:00,8/22/2017 23:45
147,5,Great service,5/16/2018 0:00,5/16/2018 23:16
148,3,Defects in fabrics,11/15/2017 0:00,11/16/2017 8:47
149,4,Excellent service; great selection,8/18/2017 0:00,8/21/2017 14:30
150,1,Great Couch & Great Service,1/12/2018 0:00,1/13/2018 0:28
151,1,Excellent service; great selection,4/5/2018 0:00,4/6/2018 11:06
152,5,Excellent service; great selection,3/14/2018 0:00,3/17/2018 10:26
153,5,I received poor quality furniture,1/31/2017 0:00,2/1/2017 16:56
154,5,Marvellous,11/2/2017 0:00,11/2/2017 15:30
155,1,Kenny is excellent,6/22/2018 0:00,6/22/2018 20:59
156,5,Defects in fabrics,4/28/2018 0:00,4/29/2018 12:38
157,2,Wow!,10/2/2017 0:00,10/4/2017 23:54
158,5,Good,12/29/2017 0:00,12/29/2017 19:51
159,4,"Wow, 3 years ago when i ordered some furniture there it was incredible service ;)) Just crazy",12/20/2017 0:00,12/22/2017 21:00
160,5,Great service !,9/14/2017 0:00,9/15/2017 14:15
161,5,recommend,11/19/2017 0:00,11/22/2017 19:34
162,5,I received poor quality furniture,12/2/2017 0:00,12/3/2017 1:31
163,3,Excellent service; great selection,12/13/2017 0:00,12/17/2017 18:47
164,5,recommend,4/27/2018 0:00,4/30/2018 8:04
165,5,Defects in fabrics,8/4/2018 0:00,8/7/2018 18:50
166,5,recommend,8/21/2018 0:00,8/22/2018 10:55
167,4,Excellent service; great selection,5/15/2018 0:00,5/16/2018 23:41
168,1,recommend,5/11/2018 0:00,5/14/2018 14:08
169,1,Good,3/29/2018 0:00,3/29/2018 23:13
170,1,Kenny is excellent,4/6/2017 0:00,4/9/2017 18:25
171,5,Great Couch & Great Service,8/26/2018 0:00,8/29/2018 2:48
172,3,Super recommend,7/22/2018 0:00,7/24/2018 13:21
173,5,recommend,8/8/2017 0:00,8/10/2017 19:27
174,5,Good,4/22/2018 0:00,4/24/2018 18:35
175,5,Best place for furniture with amazingly low price,6/23/2017 0:00,6/24/2017 0:58
176,5,Don't recommend,3/11/2018 0:00,3/11/2018 12:51
177,4,Overall great experience except for prices/selection,7/25/2017 0:00,8/2/2017 18:15
178,5,recommend,5/5/2018 0:00,5/5/2018 23:49
179,5,Recommend,5/31/2017 0:00,6/1/2017 1:21
180,5,Great service,5/12/2018 0:00,5/13/2018 11:05
181,3,Overall great experience except for prices/selection,3/14/2018 0:00,3/16/2018 20:26
182,5,Great service,3/24/2018 0:00,3/26/2018 12:38
183,3,Good,7/12/2018 0:00,7/13/2018 18:08
184,4,Great service,7/13/2018 0:00,7/18/2018 13:32
185,4,Excellent service; great selection,6/21/2018 0:00,6/22/2018 1:00
186,5,Kenny is excellent,7/4/2018 0:00,7/5/2018 0:56
187,1,I received poor quality furniture,5/6/2017 0:00,5/9/2017 11:19
188,4,Great service,8/30/2018 0:00,8/30/2018 18:04
189,5,I received poor quality furniture,4/10/2018 0:00,4/13/2018 11:04
190,5,Well,2/20/2018 0:00,2/21/2018 9:42
191,1,Good,5/23/2018 0:00,5/23/2018 22:23
192,5,Overall great experience except for prices/selection,7/7/2018 0:00,7/9/2018 18:12
193,4,Well,8/29/2017 0:00,9/2/2017 0:11
194,4,Poor Quality,7/27/2018 0:00,7/28/2018 11:06
195,4,Marvellous,10/6/2017 0:00,10/9/2017 13:44
196,5,Kenny is excellent,2/23/2018 0:00,3/26/2018 18:13
197,3,Great service,9/6/2017 0:00,9/7/2017 11:58
198,1,Great Couch & Great Service,6/28/2018 0:00,6/29/2018 16:34
199,5,Great service,10/19/2016 0:00,10/20/2016 12:40
200,5,Defects in fabrics,11/23/2017 0:00,11/25/2017 16:59
201,5,Excellent service; great selection,3/25/2018 0:00,3/25/2018 21:03
202,3,Great Couch & Great Service,5/8/2018 0:00,5/10/2018 13:57
203,5,Excellent service; great selection,12/15/2017 0:00,12/15/2017 21:51
204,5,Excellent service; great selection,3/24/2018 0:00,3/24/2018 21:06
205,5,Good,5/20/2017 0:00,5/22/2017 11:22
206,4,Marvellous,4/14/2017 0:00,4/15/2017 6:22
207,5,Kenny is excellent,2/24/2017 0:00,4/1/2017 2:29
208,3,Defects in fabrics,5/10/2018 0:00,5/11/2018 1:15
209,5,Wow!,4/10/2018 0:00,4/11/2018 13:50
210,5,Good,3/27/2018 0:00,4/1/2018 13:58
211,3,"Wow, 3 years ago when i ordered some furniture there it was incredible service ;)) Just crazy",12/13/2017 0:00,12/13/2017 16:35
212,5,Great service !,6/6/2018 0:00,6/11/2018 20:06
213,3,recommend,5/24/2018 0:00,5/25/2018 12:23
214,5,I received poor quality furniture,3/9/2018 0:00,3/12/2018 10:32
215,3,Excellent service; great selection,1/23/2018 0:00,1/24/2018 20:42
216,5,recommend,10/10/2017 0:00,10/12/2017 22:43
217,5,Defects in fabrics,7/12/2018 0:00,7/12/2018 22:46
218,1,recommend,8/17/2018 0:00,8/17/2018 5:21
219,3,Excellent service; great selection,1/31/2018 0:00,1/31/2018 21:49
220,5,recommend,7/11/2018 0:00,7/11/2018 17:33
221,5,Good,5/26/2018 0:00,5/28/2018 22:46
222,1,Kenny is excellent,12/22/2017 0:00,12/22/2017 12:20
223,1,Great Couch & Great Service,2/24/2018 0:00,2/24/2018 18:26
224,1,Super recommend,5/14/2017 0:00,5/19/2017 10:38
225,5,recommend,5/30/2017 0:00,5/31/2017 11:19
226,5,Good,6/22/2018 0:00,6/24/2018 23:07
227,5,Best place for furniture with amazingly low price,8/26/2017 0:00,8/27/2017 12:18
228,3,Don't recommend,2/16/2018 0:00,2/17/2018 21:35
229,5,Overall great experience except for prices/selection,8/22/2018 0:00,8/23/2018 1:51
230,4,recommend,2/24/2018 0:00,2/25/2018 11:02
231,5,Recommend,8/31/2017 0:00,9/1/2017 2:38
232,4,Great service,8/11/2018 0:00,8/13/2018 13:48
233,5,Overall great experience except for prices/selection,7/7/2018 0:00,7/9/2018 22:00
234,3,Great service,1/17/2018 0:00,1/17/2018 23:00
235,4,Good,10/17/2017 0:00,10/20/2017 1:10
236,5,Great service,4/21/2018 0:00,4/24/2018 14:26
237,4,Excellent service; great selection,4/19/2018 0:00,4/22/2018 16:36
238,5,Kenny is excellent,2/17/2018 0:00,2/19/2018 16:20
239,5,I received poor quality furniture,9/7/2017 0:00,9/13/2017 13:51
240,1,Great service,11/2/2016 0:00,11/3/2016 12:04
241,5,I received poor quality furniture,8/8/2018 0:00,8/9/2018 5:27
242,1,Well,3/23/2018 0:00,3/23/2018 23:21
243,1,Good,8/3/2018 0:00,8/4/2018 19:32
244,5,Overall great experience except for prices/selection,6/7/2017 0:00,6/9/2017 19:26
245,5,Well,7/14/2018 0:00,7/17/2018 14:28
246,1,Excellent service; great selection,3/14/2018 0:00,3/14/2018 8:59
247,5,Marvellous,8/15/2018 0:00,8/16/2018 12:59
248,5,Kenny is excellent,7/24/2018 0:00,7/25/2018 3:29
249,1,Great service,8/24/2018 0:00,8/27/2018 5:20
250,5,Great Couch & Great Service,8/23/2018 0:00,8/24/2018 18:42
251,5,Great service,1/30/2018 0:00,1/31/2018 10:01
252,5,Defects in fabrics,12/13/2017 0:00,12/16/2017 19:33
253,5,Excellent service; great selection,10/8/2017 0:00,10/9/2017 14:07
254,3,Great Couch & Great Service,6/12/2018 0:00,6/12/2018 22:36
255,5,Excellent service; great selection,12/5/2017 0:00,12/6/2017 0:38
256,4,Excellent service; great selection,9/23/2017 0:00,9/24/2017 21:45
257,5,I received poor quality furniture,7/5/2017 0:00,7/5/2017 15:09
258,5,Marvellous,5/5/2018 0:00,5/6/2018 0:28
259,5,Kenny is excellent,1/18/2018 0:00,1/18/2018 18:08
260,1,Defects in fabrics,3/11/2018 0:00,3/13/2018 21:17
261,5,Wow!,2/25/2018 0:00,2/27/2018 20:17
262,2,Good,11/24/2017 0:00,11/27/2017 12:46
263,2,"Wow, 3 years ago when i ordered some furniture there it was incredible service ;)) Just crazy",3/1/2018 0:00,3/4/2018 21:45
264,2,Great service !,6/7/2017 0:00,6/9/2017 6:12
265,5,recommend,6/24/2018 0:00,6/26/2018 21:13
266,5,I received poor quality furniture,2/20/2018 0:00,2/21/2018 4:09
267,5,Excellent service; great selection,4/17/2018 0:00,4/18/2018 1:35
268,1,recommend,6/22/2017 0:00,6/23/2017 19:35
269,5,Defects in fabrics,2/9/2018 0:00,2/11/2018 23:12
270,5,recommend,8/24/2018 0:00,8/26/2018 22:08
271,5,Excellent service; great selection,3/22/2017 0:00,4/17/2017 5:39
272,5,recommend,8/29/2018 0:00,8/30/2018 9:56
273,5,Good,5/31/2017 0:00,6/1/2017 13:56
274,5,Kenny is excellent,12/23/2017 0:00,12/29/2017 22:56
275,4,Great Couch & Great Service,10/22/2017 0:00,10/24/2017 18:12
276,4,Super recommend,8/8/2017 0:00,8/11/2017 10:31
277,1,recommend,8/5/2018 0:00,8/5/2018 9:27
278,5,Good,4/28/2018 0:00,4/28/2018 19:48
279,5,Best place for furniture with amazingly low price,2/28/2018 0:00,3/2/2018 1:26
280,5,Don't recommend,6/8/2018 0:00,6/8/2018 20:47
281,5,Overall great experience except for prices/selection,6/12/2018 0:00,6/15/2018 11:52
282,5,recommend,8/1/2018 0:00,8/1/2018 18:52
283,5,Recommend,6/11/2018 0:00,6/13/2018 18:18
284,5,Great service,6/30/2018 0:00,7/3/2018 13:33
285,5,Overall great experience except for prices/selection,6/7/2018 0:00,6/8/2018 1:40
286,5,Great service,4/21/2018 0:00,4/24/2018 15:12
287,5,Good,12/19/2017 0:00,12/19/2017 22:43
288,4,Great service,8/7/2018 0:00,8/7/2018 22:19
289,5,Excellent service; great selection,7/26/2017 0:00,7/27/2017 9:16
290,5,Kenny is excellent,3/9/2018 0:00,3/9/2018 19:35
291,1,I received poor quality furniture,7/8/2017 0:00,7/8/2017 15:56
292,5,Great service,5/25/2018 0:00,5/25/2018 3:45
293,1,I received poor quality furniture,7/5/2017 0:00,7/11/2017 10:20
294,5,Well,12/5/2017 0:00,12/6/2017 4:16
295,4,Good,2/24/2018 0:00,2/25/2018 20:02
296,3,Overall great experience except for prices/selection,3/6/2018 0:00,3/6/2018 21:00
297,1,Well,1/31/2018 0:00,2/1/2018 2:12
298,5,Poor Quality,9/26/2017 0:00,9/27/2017 8:54
299,5,Marvellous,8/7/2018 0:00,8/8/2018 12:05
300,4,Kenny is excellent,5/19/2018 0:00,5/21/2018 12:29
301,4,Great service,5/16/2017 0:00,6/9/2017 20:20
302,5,Great Couch & Great Service,2/24/2018 0:00,2/24/2018 14:58
303,3,Great service,12/30/2017 0:00,1/1/2018 22:56
304,1,Defects in fabrics,11/29/2017 0:00,11/29/2017 21:28
305,1,Excellent service; great selection,5/17/2017 0:00,5/21/2017 12:41
306,1,Great Couch & Great Service,2/9/2018 0:00,2/14/2018 4:13
307,5,Excellent service; great selection,4/24/2018 0:00,4/25/2018 0:24
308,5,Excellent service; great selection,12/28/2017 0:00,12/30/2017 23:43
309,4,Good,12/9/2017 0:00,12/12/2017 20:32
310,5,Marvellous,12/16/2017 0:00,12/17/2017 1:51
311,4,Kenny is excellent,7/3/2018 0:00,7/4/2018 16:17
312,3,Defects in fabrics,3/30/2018 0:00,3/31/2018 12:10
313,4,Wow!,7/27/2017 0:00,7/29/2017 15:47
314,5,Good,8/14/2018 0:00,8/15/2018 17:18
315,5,"Wow, 3 years ago when i ordered some furniture there it was incredible service ;)) Just crazy",6/3/2018 0:00,6/4/2018 0:38
316,5,Great service !,1/5/2018 0:00,1/7/2018 17:50
317,5,recommend,2/2/2018 0:00,2/3/2018 19:22
318,3,I received poor quality furniture,3/20/2018 0:00,3/23/2018 14:35
319,1,Excellent service; great selection,4/27/2018 0:00,4/27/2018 12:17
320,5,recommend,10/20/2017 0:00,10/23/2017 20:54
321,1,Defects in fabrics,4/27/2018 0:00,4/28/2018 1:49
322,4,recommend,5/13/2017 0:00,5/14/2017 14:37
323,5,Excellent service; great selection,3/1/2018 0:00,3/5/2018 22:02
324,5,recommend,8/8/2018 0:00,8/8/2018 23:07
325,4,Good,8/12/2018 0:00,8/14/2018 12:49
326,4,Kenny is excellent,12/19/2017 0:00,12/20/2017 2:19
327,4,Great Couch & Great Service,10/3/2017 0:00,10/3/2017 23:35
328,5,Super recommend,5/10/2018 0:00,5/10/2018 16:21
329,5,recommend,4/27/2018 0:00,4/30/2018 13:04
330,5,Good,9/19/2017 0:00,9/25/2017 17:26
331,1,Best place for furniture with amazingly low price,3/1/2018 0:00,3/2/2018 12:55
332,4,Don't recommend,3/31/2018 0:00,4/3/2018 21:11
333,1,Overall great experience except for prices/selection,8/23/2018 0:00,8/30/2018 3:02
334,5,recommend,8/18/2018 0:00,8/20/2018 16:07
335,5,Recommend,11/10/2017 0:00,11/10/2017 22:13
336,5,Great service,12/5/2017 0:00,12/7/2017 20:12
337,2,Overall great experience except for prices/selection,5/19/2018 0:00,5/20/2018 13:07
338,3,Great service,11/24/2017 0:00,11/24/2017 18:29
339,3,Good,12/23/2017 0:00,12/25/2017 13:42
340,5,Great service,2/1/2018 0:00,2/1/2018 22:22
341,5,Excellent service; great selection,9/19/2017 0:00,9/20/2017 0:32
342,3,Kenny is excellent,7/6/2018 0:00,7/9/2018 19:07
343,5,I received poor quality furniture,11/24/2017 0:00,11/27/2017 11:24
344,5,Great service,4/11/2018 0:00,4/13/2018 22:54
345,5,I received poor quality furniture,3/4/2018 0:00,3/6/2018 20:12
346,5,Well,8/10/2018 0:00,8/11/2018 12:59
347,3,Good,1/12/2018 0:00,1/13/2018 18:46
348,5,Overall great experience except for prices/selection,7/4/2018 0:00,7/4/2018 22:24
349,5,Well,5/8/2017 0:00,5/8/2017 17:29
350,3,Excellent service; great selection,2/27/2018 0:00,3/2/2018 0:24
351,5,Marvellous,10/21/2017 0:00,10/25/2017 11:06
352,1,Kenny is excellent,4/20/2017 0:00,4/21/2017 1:17
353,5,Great service,2/6/2018 0:00,2/14/2018 13:31
354,4,Great Couch & Great Service,1/13/2018 0:00,1/16/2018 11:36
355,5,Great service,9/1/2017 0:00,9/4/2017 20:46
356,5,Defects in fabrics,7/13/2017 0:00,7/13/2017 19:22
357,3,Excellent service; great selection,5/27/2017 0:00,5/31/2017 0:37
358,5,Great Couch & Great Service,3/8/2017 0:00,3/9/2017 10:00
359,5,Excellent service; great selection,10/14/2017 0:00,10/17/2017 13:50
360,5,Excellent service; great selection,3/14/2018 0:00,3/14/2018 10:56
361,5,I received poor quality furniture,7/27/2017 0:00,7/28/2017 16:57
362,2,Marvellous,3/22/2017 0:00,3/22/2017 21:35
363,4,Kenny is excellent,8/18/2017 0:00,8/19/2017 13:16
364,5,Defects in fabrics,7/26/2017 0:00,7/27/2017 0:12
365,1,Wow!,3/21/2018 0:00,3/21/2018 15:32
366,5,Good,7/13/2017 0:00,7/14/2017 13:16
367,5,"Wow, 3 years ago when i ordered some furniture there it was incredible service ;)) Just crazy",8/18/2017 0:00,8/21/2017 12:23
368,5,Great service !,8/28/2018 0:00,8/29/2018 2:35
369,5,recommend,9/21/2017 0:00,2/14/2018 10:53
370,5,I received poor quality furniture,3/18/2018 0:00,3/18/2018 16:55
371,4,Excellent service; great selection,5/10/2018 0:00,5/11/2018 3:41
372,5,recommend,3/15/2017 0:00,3/17/2017 11:24
373,5,Defects in fabrics,4/4/2018 0:00,4/4/2018 21:30
374,4,recommend,2/1/2018 0:00,2/1/2018 20:35
375,5,Excellent service; great selection,7/1/2018 0:00,7/3/2018 19:17
376,5,recommend,5/10/2018 0:00,5/11/2018 16:42
377,5,Good,1/9/2018 0:00,1/9/2018 23:45
378,5,Kenny is excellent,6/22/2018 0:00,6/23/2018 13:01
379,5,Great Couch & Great Service,9/14/2017 0:00,9/15/2017 1:18
380,5,Super recommend,7/26/2017 0:00,7/27/2017 22:55
381,1,recommend,10/8/2017 0:00,11/10/2017 16:24
382,1,Good,1/10/2018 0:00,1/11/2018 11:54
383,1,Best place for furniture with amazingly low price,2/9/2018 0:00,2/10/2018 1:04
384,3,Don't recommend,3/23/2017 0:00,3/23/2017 22:03
385,5,Overall great experience except for prices/selection,9/27/2017 0:00,10/3/2017 12:25
386,5,recommend,7/11/2018 0:00,7/14/2018 2:42
387,5,Recommend,6/20/2018 0:00,6/22/2018 21:53
388,5,Great service,10/29/2017 0:00,10/29/2017 19:56
389,5,Overall great experience except for prices/selection,7/21/2017 0:00,7/22/2017 0:47
390,5,Great service,3/24/2018 0:00,3/27/2018 12:24
391,5,Good,7/7/2018 0:00,7/9/2018 15:31
392,4,Great service,5/8/2018 0:00,5/10/2018 17:19
393,4,Excellent service; great selection,9/5/2017 0:00,9/6/2017 12:31
394,5,Kenny is excellent,2/16/2018 0:00,2/19/2018 19:04
395,3,I received poor quality furniture,4/26/2018 0:00,4/26/2018 13:36
396,5,Great service,11/14/2017 0:00,11/16/2017 9:21
397,4,I received poor quality furniture,6/22/2017 0:00,6/22/2017 23:54
398,4,Well,2/8/2018 0:00,2/10/2018 22:17
399,1,Good,1/30/2018 0:00,1/30/2018 2:34
400,5,Overall great experience except for prices/selection,3/6/2018 0:00,3/8/2018 21:29
401,5,Well,11/25/2017 0:00,11/25/2017 18:16
402,5,Poor Quality,5/7/2018 0:00,5/10/2018 7:37
403,5,Marvellous,9/6/2017 0:00,9/8/2017 10:58
404,5,Kenny is excellent,8/14/2018 0:00,8/17/2018 11:48
405,4,Great service,7/1/2018 0:00,7/3/2018 22:47
406,5,Great Couch & Great Service,7/27/2018 0:00,7/28/2018 1:37
407,5,Great service,1/16/2018 0:00,1/18/2018 21:28
408,3,Defects in fabrics,4/5/2017 0:00,4/7/2017 19:16
409,1,Excellent service; great selection,11/5/2017 0:00,11/6/2017 13:54
410,5,Great Couch & Great Service,8/17/2017 0:00,11/5/2017 15:18
411,5,Excellent service; great selection,10/7/2017 0:00,10/7/2017 23:01
